add-none,2,10,40,806196,20154,0
add-none,2,10,40,564392,14109,0
add-none,2,20,80,505506,6318,0
add-none,2,20,80,583778,7297,0
add-none,2,40,160,504945,3155,0
add-none,2,40,160,597023,3731,0
add-none,2,80,320,452628,1414,0
add-none,2,80,320,452468,1413,0
add-none,2,100,400,500654,1251,69
add-none,2,100,400,486674,1216,2
add-none,2,1000,4000,670738,167,0
add-none,2,1000,4000,476767,119,15
add-none,2,10000,40000,1516194,37,62
add-none,2,10000,40000,2107828,52,228
add-none,2,100000,400000,10552359,26,-683
add-none,2,100000,400000,9069958,22,-8571
add-none,4,10,80,312362,3904,3
add-none,4,10,80,278161,3477,0
add-none,4,20,160,225509,1409,0
add-none,4,20,160,1688451,10552,0
add-none,4,40,320,258677,808,0
add-none,4,40,320,166763,521,0
add-none,4,80,640,202430,316,0
add-none,4,80,640,3543066,5536,0
add-none,4,100,800,260062,325,-1
add-none,4,100,800,137472,171,1
add-none,4,1000,8000,178990,22,-588
add-none,4,1000,8000,135223,16,0
add-none,4,10000,80000,1277548,15,73
add-none,4,10000,80000,1281600,16,-1980
add-none,4,100000,800000,5975230,7,-76590
add-none,4,100000,800000,6026209,7,-104573
add-none,8,10,160,334758,2092,-5
add-none,8,10,160,234131,1463,0
add-none,8,20,320,219645,686,0
add-none,8,20,320,213000,665,0
add-none,8,40,640,193518,302,0
add-none,8,40,640,199152,311,0
add-none,8,80,1280,208682,163,0
add-none,8,80,1280,191289,149,0
add-none,8,100,1600,209129,130,0
add-none,8,100,1600,214319,133,0
add-none,8,1000,16000,203167,12,0
add-none,8,1000,16000,203436,12,0
add-none,8,10000,160000,1226301,7,5841
add-none,8,10000,160000,1457526,9,5955
add-none,8,100000,1600000,11297724,7,26622
add-none,8,100000,1600000,10690583,6,-67289
add-none,12,10,240,398717,1661,-1
add-none,12,10,240,276823,1153,0
add-none,12,20,480,273125,569,0
add-none,12,20,480,280896,585,0
add-none,12,40,960,265284,276,0
add-none,12,40,960,263732,274,0
add-none,12,80,1920,855745,445,0
add-none,12,80,1920,294915,153,0
add-none,12,100,2400,314800,131,0
add-none,12,100,2400,277656,115,0
add-none,12,1000,24000,298939,12,0
add-none,12,1000,24000,284976,11,0
add-none,12,10000,240000,1398242,5,4126
add-none,12,10000,240000,1813360,7,13885
add-none,12,100000,2400000,18085972,7,42089
add-none,12,100000,2400000,19657879,8,195979
add-none,2,100,400,153594,383,17
add-yield-none,2,100,400,186718,466,14
add-none,2,1000,4000,110913,27,-42
add-yield-none,2,1000,4000,1094549,273,22
add-none,2,10000,40000,278510,6,-52
add-yield-none,2,10000,40000,9988661,249,6
add-none,2,100000,400000,1893159,4,75
add-yield-none,2,100000,400000,95729352,239,129
add-none,8,100,1600,227650,142,-4
add-yield-none,8,100,1600,646390,403,27
add-none,8,1000,16000,214957,13,0
add-yield-none,8,1000,16000,7426847,464,-89
add-none,8,10000,160000,1249053,7,2111
add-yield-none,8,10000,160000,31427715,196,-783
add-none,8,100000,1600000,10647311,6,-21114
add-yield-none,8,100000,1600000,315443787,197,-127934
add-none,1,10,20,162883,8144,0
add-none,1,20,40,155668,3891,0
add-none,1,40,80,101358,1266,0
add-none,1,80,160,155645,972,0
add-none,1,100,200,149383,746,0
add-none,1,1000,2000,103033,51,0
add-none,1,10000,20000,135125,6,0
add-none,1,100000,200000,786032,3,0
add-yield-none,2,10000,40000,9918611,247,0
add-yield-m,2,10000,40000,39153228,978,0
add-yield-s,2,1000,4000,5165234,1291,0
add-yield-c,2,10000,40000,20177190,504,0
add-yield-none,4,10000,80000,16125602,201,-8476
add-yield-m,4,10000,80000,70834167,885,0
add-yield-s,4,1000,8000,6341716,792,0
add-yield-c,4,10000,80000,39513392,493,0
add-yield-none,8,10000,160000,47124456,294,-12714
add-yield-m,8,10000,160000,186549493,1165,0
add-yield-s,8,1000,16000,35198558,2199,0
add-yield-c,8,10000,160000,87721622,548,0
add-yield-none,12,10000,240000,60067447,250,-4188
add-yield-m,12,10000,240000,275464456,1147,0
add-yield-s,12,1000,24000,21804748092,908531,0
add-yield-c,12,10000,240000,199251172,830,0
add-none,1,10000,20000,219396,10,0
add-m,1,10000,20000,488336,24,0
add-s,1,1000,2000,78141,39,0
add-c,1,10000,20000,317788,15,0
add-none,2,10000,40000,228183,5,-11
add-m,2,10000,40000,3755201,93,0
add-s,2,1000,4000,594416,148,0
add-c,2,10000,40000,885410,22,0
add-none,4,10000,80000,588869,7,-1203
add-m,4,10000,80000,8791748,109,0
add-s,4,1000,8000,569678,71,0
add-c,4,10000,80000,2685258,33,0
add-none,8,10000,160000,958357,5,4410
add-m,8,10000,160000,17849153,111,0
add-s,8,1000,16000,1488360,93,0
add-c,8,10000,160000,12562845,78,0
add-none,12,10000,240000,2051606,8,13025
add-m,12,10000,240000,27614527,115,0
add-s,12,1000,24000,1867473,77,0
add-c,12,10000,240000,15191940,63,0
