list-none-none,1,10,1,30,90874,3029
list-none-none,1,100,1,300,39832,132
list-none-none,1,1000,1,3000,104972,34
list-none-none,1,10000,1,30000,421084,14
list-none-none,1,20000,1,60000,745991,12
list-none-none,2,1,1,6,47703,7950
list-none-none,2,10,1,60,44600,743
list-none-none,2,100,1,600,51387,85
list-none-none,4,10,1,120,85603,713
list-none-none,4,100,1,1200,119306,99
list-none-none,8,1,1,24,212229,8842
list-none-none,8,10,1,240,256590,1069
list-none-none,12,10,1,360,272897,758
list-none-none,12,100,1,3600,260034,72
list-i-none,2,1,1,6,41739,6956
list-d-none,2,1,1,6,38202,6367
list-il-none,2,1,1,6,40597,6766
list-dl-none,2,1,1,6,64230,10705
list-d-none,2,2,1,12,68212,5684
list-il-none,2,2,1,12,42748,3562
list-dl-none,2,2,1,12,40820,3401
list-i-none,2,4,1,24,479771,19990
list-il-none,2,4,1,24,80085,3336
list-dl-none,2,4,1,24,119366,4973
list-i-none,2,8,1,48,167154,3482
list-dl-none,2,16,1,96,72669,756
list-dl-none,2,32,1,192,86704,451
list-i-none,4,1,1,12,86857,7238
list-d-none,4,1,1,12,85249,7104
list-il-none,4,1,1,12,83818,6984
list-dl-none,4,1,1,12,79039,6586
list-i-none,4,2,1,24,83010,3458
list-d-none,4,2,1,24,99761,4156
list-il-none,4,2,1,24,110504,4604
list-dl-none,4,2,1,24,76180,3174
list-i-none,4,4,1,48,79070,1647
list-d-none,4,4,1,48,83440,1738
list-il-none,4,4,1,48,80538,1677
list-dl-none,4,4,1,48,83257,1734
list-i-none,4,8,1,96,84002,875
list-d-none,4,8,1,96,86451,900
list-dl-none,4,32,1,384,768938,2002
list-i-none,8,1,1,24,906282,37761
list-dl-none,8,1,1,24,201631,8401
list-i-none,8,2,1,48,178134,3711
list-d-none,8,2,1,48,175616,3658
list-il-none,8,2,1,48,160729,3348
list-dl-none,8,2,1,48,170034,3542
list-i-none,8,4,1,96,162608,1693
list-d-none,8,4,1,96,162098,1688
list-il-none,8,4,1,96,171680,1788
list-dl-none,8,4,1,96,165173,1720
list-i-none,8,8,1,192,158162,823
list-d-none,8,8,1,192,166296,866
list-il-none,12,1,1,36,254653,7073
list-dl-none,12,1,1,36,251712,6992
list-i-none,12,2,1,72,255891,3554
list-d-none,12,2,1,72,273539,3799
list-il-none,12,2,1,72,249307,3462
list-dl-none,12,2,1,72,246969,3430
list-i-none,12,4,1,144,243831,1693
list-d-none,12,4,1,144,243814,1693
list-il-none,12,4,1,144,485347,3370
list-d-none,12,8,1,288,530737,1842
list-dl-none,12,8,1,288,281524,977
list-i-m,12,32,1,1152,4702035,4081
list-i-s,12,32,1,1152,403038393,349859
list-d-m,12,32,1,1152,681993,592
list-d-s,12,32,1,1152,1661270,1442
list-il-m,12,32,1,1152,1246036,1081
list-il-s,12,32,1,1152,18110476,15720
list-dl-m,12,32,1,1152,1364837,1184
list-dl-s,12,32,1,1152,28902777,25089
list-none-s,1,1000,1,3000,74090,24
list-none-m,1,1000,1,3000,109793,36
list-none-s,2,1000,1,6000,366086,61
list-none-m,2,1000,1,6000,391539,65
list-none-s,4,1000,1,12000,1112024,92
list-none-m,4,1000,1,12000,1667345,138
list-none-s,8,1000,1,24000,1273187,53
list-none-m,8,1000,1,24000,3445309,143
list-none-s,12,1000,1,36000,2151260,59
list-none-m,12,1000,1,36000,5332387,148
list-none-s,16,1000,1,48000,2291215,47
list-none-m,16,1000,1,48000,7144084,148
list-none-s,24,1000,1,72000,36542031,507
list-none-m,24,1000,1,72000,11142719,154
